unlabeled,labeled
1.22869470093328,4813
1.31823208909462,5032
0.979729229535012,2015
1.46944721046782,5424
0.955895536283431,1229
1.10195742668332,4347
1.1538118133523,4609
4.43207190472001,26141
1.05541730945557,4029
1.0336771162869,3799
0.990035691481641,2546
0.972965613882536,1731
1.2639621254069,4905
1.01338118215475,3388
1.20404471371078,4759
0.883814251870823,657
0.999511551406204,2938
1.14961958039369,4593
1.14329924233105,4564
4.23973819818159,25537
1.26040106143591,4889
3.65440466760351,20519
1.0151368316166,3423
1.11433102621066,4418
1.14698610620092,4581
0.597643389590596,430
1.10520164900909,4373
2.6784391317656,11765
1.40576883687642,5277
1.13557438469895,4526
1.15067297007079,4596
1.00653414925357,3192
0.858006204781748,605
1.3538016128059,5143
1.03163993655791,3767
2.50691217934365,11042
3.59927727450167,20241
1.03831140451291,3854
1.09466775223803,4294
2.48285978171642,10942
1.1383834238379,4542
1.10923964277132,4392
1.02391507892581,3636
1.01215222753147,3355
0.983184011411074,2203
0.992664518505021,2665
1.01267892237002,3365
0.755476276210181,504
1.10327043460106,4362
1.41276166976136,5290
1.22932606596131,4815
2.44441105850208,10831
5.05172607428347,27971
3.6867086177014,20665
1.30394116808959,4993
6.68149546971129,30629
3.04133187552832,16686
3.94285787418413,22673
1.11573554578014,4425
0.601505818406648,433
0.935254781102791,928
0.576400031102309,418
10.6761246902401,7975
9.94120982551312,32400
1.05428781461567,4013
2.91264276997531,13576
5.81174672631482,29366
1.28410232917077,4947
10.8385222654605,8014
2.97757246250194,14753
1.30148408843135,4984
2.87273641988857,13057
9.90012762810602,32385
2.63138772618824,11543
2.45845625419681,10875
4.6315991580647,26617
1.09080532342198,4272
2.61067106253851,11463
2.91018486072873,13533
1.00267172043752,3063
0.590796356689412,427
2.80326580850256,12435
2.52464423890825,11126
0.58149141454165,420
1.21229626618144,4776
3.21162987332698,18550
3.43073492616485,19553
2.53904056449536,11181
5.20534540219463,28402
0.983535141303443,2229
5.36633845784553,28680
1.27778199110814,4936
1.07149317934172,4148
3.98411563653741,23272
2.84399687601729,12764
1.34448135936494,5120
5.62987602907983,29111
1.46638747957742,5416
0.966201998230061,1479
1.33675151290497,5096
4.58441429536862,26485
2.60460737080829,11443
1.01016549997115,3299
1.50068867324354,5477
0.928035881333949,864
1.58217413800908,5570
8.26349913337946,31774
0.10400204100735,284
1.28264258768516,4945
0.903880111146536,722
1.08681981069921,4247
3.34554536169019,19184
1.2319154702916,4820
0.0163971144610008,237
1.29713604979761,4976
2.82748461040415,12629
1.11450659115685,4419
9.1364201122048,32147
10.8471249478235,8016
4.58595227205681,26490
3.29432096297974,18965
1.02251055935633,3606
0.632229683988881,448
0.735988567183737,495
3.17458566968212,18309
9.96561335303273,32410
6.24644553306687,30217
10.61309687456,7962
1.01970152021739,3542
9.94665233884483,32405
3.91301183333282,22342
2.53781160987207,11176
5.13213481963582,28224
4.91741889045256,27402
3.9565519399865,22847
1.29112492701814,4964
0.994244603020678,2717
5.35018648279659,28650
5.49572982318328,28900
1.22757041649947,4811
2.63841032403561,11577
1.43227914375023,5331
2.35118607207827,10644
3.91617200236413,22378
1.00583188946883,3165
2.45283817591892,10855
1.29516292078038,4972
2.85217172000217,12850
4.20559980259373,25385
3.53134791705973,19968
2.35708901528704,10654
3.42111909757075,19514
3.46998341961226,19722
2.49610611752917,10998
2.49686370391741,11004
3.02187107096803,16175
2.99535554737962,15190
3.98324819764516,23258
3.97567233376275,23144
4.55598350715493,26429
4.23060015340566,25494
3.09270539826851,17517
3.18020662611029,18349
3.19763111303982,18462
3.07149297939778,17241
2.4911818060056,10975
1.95102271119017,6797
2.39686230066967,10735
